Min: -17.5891, Max: 21.3178, Mean: -0.0572212
Min: 0, Max: 1, Mean: 0.500758
Min: -49.0274, Max: 57.6973, Mean: -0.897773
Min: -0.858063, Max: 0.656716, Mean: -0.0105358
Min: -3.41518, Max: 53.6895, Mean: 1.17669
Min: -80.9483, Max: 31.6337, Mean: -2.51574
Min: -1.03825, Max: 1.53197, Mean: -0.0102068
Min: -4.25945, Max: 32.6473, Mean: 1.02735
Min: -45.4332, Max: 26.0041, Mean: -2.79312
Min: -0.657609, Max: 0.81792, Mean: -0.00487038
Min: -3.05409, Max: 21.7285, Mean: 0.999281
Min: -35.3176, Max: 20.5273, Mean: -2.6716
Min: -0.517114, Max: 0.848755, Mean: -0.00306641
Min: -2.03611, Max: 22.283, Mean: 0.560787
Min: -18.7102, Max: 18.4218, Mean: -1.68658
Min: -0.302665, Max: 0.579236, Mean: -0.00184934
Min: -1.24679, Max: 18.3075, Mean: 0.370922
Min: -13.7108, Max: 15.543, Mean: -1.16945
Min: -1.74843, Max: 1.46141, Mean: -0.00431327
Min: -1.19761, Max: 13.2021, Mean: 0.0614541
Min: -39.073, Max: 39.6167, Mean: -2.74795
Min: -0.122582, Max: 0.307521, Mean: -0.00107689
Min: -4.49205, Max: 37.6951, Mean: -0.141992
Min: -7.69241, Max: 6.01184, Mean: -0.314741
Min: -0.653698, Max: 0.390853, Mean: -0.00277827
Min: -0.835306, Max: 5.61168, Mean: 0.123076
Min: -12.6313, Max: 9.45669, Mean: -0.95281
Min: -1.04525, Max: 0.564385, Mean: -0.0259521
Min: -1.03841, Max: 9.3923, Mean: 0.382154
Min: -19.5595, Max: 6.90536, Mean: -6.91077
Min: -1.00442, Max: 0.810367, Mean: -0.0130101
Min: -0.835306, Max: 5.61168, Mean: 0.138778
Min: -8.47911, Max: 11.0016, Mean: -0.437734
Min: -0.319573, Max: 0.214598, Mean: -0.000678881
Min: -1.87917, Max: 18.3075, Mean: 0.143184
Min: -10.3598, Max: 7.76437, Mean: -0.506955
Min: -0.758085, Max: 0.596278, Mean: -0.0389826
Min: -1.03763, Max: 9.13342, Mean: 0.516003
Min: -18.6611, Max: 7.0618, Mean: -6.44435

